testSeller,testCustomer,test message,11/13/2023,01:01
testSeller,testCustomer,test message,11/13/2023,17:23
testCustomer,testSeller,test message,11/13/2023,17:23
testSeller,testCustomer,test message,11/13/2023,17:23
testCustomer,testSeller,test message,11/13/2023,17:23
testSeller,testCustomer,test message,11/14/2023,15:44
testCustomer,testSeller,test message,11/14/2023,15:44
testCustomer,testSeller,hi there,11/29/2023,16:04
testCustomer,testSeller,test message,11/29/2023,16:04
testCustomer,testSeller,scwcw,11/29/2023,16:04
testCustomer,testSeller,Hello!,11/29/2023,19:46
testCustomer,testSeller,test,11/30/2023,15:59
testCustomer,testSeller,wewefwefwefwefwefwefwefwef,11/30/2023,16:00
testCustomer,testSeller,test,11/30/2023,16:00
testCustomer,testSeller,helloo,11/30/2023,16:00
testCustomer,testSeller,hello ,11/30/2023,16:05
testCustomer,testSeller,test,11/30/2023,16:06
testCustomer,testSeller,hi there,11/30/2023,16:11
testCustomer,testSeller,you're pretty chill,11/30/2023,16:13
testCustomer,testSeller,hello,11/30/2023,16:35
testCustomer,testSeller,hekkiiii,11/30/2023,16:35
